query,positive
Какова должность Ивашкина Евгения Геннадьевича?,"Должность: Первый проректор - проректор по образовательной деятельности,  ФИО: Ивашкин Евгений Геннадьевич , Номер телефона: 436-93-24"
Какой номер телефона у директора Образовательно-научного института экономики и управления?,"Должность: Директор (ауд. 3213а), Образовательно-научный институт экономики и управления (ИНЭУ), ФИО: Митяков Сергей Николаевич , Номер телефона: 436-23-62"
"Как называется СОЛ, ссылка на который публикуется в соцсетях?","Ссылка публикуется в соцсетях и администрации СОЛ «Ждановец» (ауд. 1154)

Директор СОК «Ждановец» - Олег Борисович Солдаткин

ауд. 1154, тел. 436-18-70

Наш сайт:

zhdanovec.nntu.ru"
Как зовут врача медицинского кабинета в 1 учебном корпусе?,"Медицинская служба НГТУ

Если тебе нужна медицинская помощь, когда ты на учебе, обращайся в медицинские кабинеты университета, которые находятся:

- · 1 учебный корпус ауд. 1350. Врач медицинского кабинета - Любовь Викторовна Санаева, тел.436-03-91. Часы работы: 12:00-17:00 ежедневно, кроме субботы и воскресенья;
- · 6 учебный корпус ауд. 6103 (рядом со спортзалом)."
Какой адрес у Студенческого Совета НГТУ им. Р.Е. Алексеева?,"Ждём всех в Студенческом Совете НГТУ им. Р.Е. Алексеева! #меня\_греет\_студсовет

Адрес: ул. Минина, 24 к.1 (ауд.1336)

Эл. почта: ngtustudsovet@gmail.com

Председатель - Болдырева Мария, тел: 8 (953) 566-25-56"
Какие направления деятельности включают студенческие сообщества НГТУ?,"Технический университет славится своим студенческим братством, ведь студенческие годы - это не только учеба и наука, но и занятия спортом, творчеством, волонтерской работой, организацией мероприятий. В НГТУ работает более 20 студенческих сообществ ."
Какова должность Смирновой Арины Валерьевны?,"Должность: Секретарь 6 корпуса (ауд. 6210), Институт электрознергетики (ИНЭЛ), ФИО: Смирнова Арина Валерьевна , Номер телефона: 257-86-81"
Как зовут администратора Клуба Веселых и Находчивых?,"Мы поможем тебе реализоваться в Клубе Веселых и Находчивых. Администратор - Лидия Маклакова, тел: 8 (999) 140-16-87"
Где работают педагогические отряды?,"У строительных отрядов от Челябинской области (г. Озерск, ПО «Маяк») до Республики Беларусь (г. Островец, Белорусская АЭС), у педагогических отрядов - от близлежащих Нижнему Новгороду

до всероссийских детских оздоровительных лагерей на побережье Черного моря. А рейсы отрядов проводников простираются от северных далей Кольского полуострова до жарких краев Абхазии."
Какие виды туризма будут охвачены в ШГТ НГТУ?,"Записывайся в ШГТ НГТУ! Мы расскажем с чего начинать и на что обратить внимание, с удовольствием поделимся опытом и знаниями по организации походов, технике пешего и горного туризма."
Какие навыки помогают минимизировать ошибки в учебной деятельности?,"- • Каждый политехник должен знать гимн НГТУ. - • Чтобы совершать меньше ошибок, умей слушать и терпеть."
Какой номер телефона у Екатерины Петровны Махровой?,"Должность: Ведущий инженер автомобильного направления (ауд. 1358), Образовательно-научный институт транспортных систем (ИТС), ФИО: Махрова Екатерина Петровна , Номер телефона: 436-63-64"
Какой номер телефона у проректора по управлению имущественным комплексом?,"Должность: Проректор по управлению имущественным комплексом,  ФИО: Солдаткин Олег Борисович , Номер телефона: 436-93-23 436-18-70"
Где находятся все сервисы для студентов НГТУ?,"Все сервисы для студентов, в том числе возможность проверить успеваемость, находятся во вкладке «СТУДЕНТАМ» на главной странице сайта НГТУ nntu.ru. Этот QR-код приведет тебя сразу на нужную страницу"
Какие оценки заносятся в зачетную книжку?,"В зачетную книжку заносятся только положительные оценки. Неудовлетворительная оценка («не зачтено», «неудовлетворительно») проставляется только в экзаменационной ведомости."
"Участвуют ли студенты НГТУ в конкурсах, организованных государственными структурами?","Наши ребята являются постоянными участниками различных конкурсов, в том числе организованных Министерством науки и высшего образования Российской Федерации, Федеральным агентством по делам молодежи, другими министерствами России. Студенческие проекты регулярно одерживают победы."
"В чем разница между ""верхними"" и ""нижними"" неделями в семестре?","

Расписание пар:

|                  | 1-5 корпуса      | 6 корпус         |
|------------------|------------------|------------------|
| 1                | 7:30-9:05        | 8:00-9:35        |
| 2                | 9:20-10:55       | 9:45-11:20       |
| 3                | 11:10-12:45      | 11:35-13:10      |
| Перерыв 30 минут | Перерыв 30 минут | Перерыв 30 минут |
| 4                | 13:15-14:50      | 13:40-15:15      |
| 5                | 15:00-16:35      | 15:25-17:00      |
| 6                | 16:45-18:20      | 17:10-18:45      |
| 7                | 18:30-20:05      | 18:55-20:30      |

Недели в семестре делятся на «верхние» (нечетные) и «нижние» (четные) . В расписании обозначаются: НН (нечётная неделя), ЧН (чётная неделя)"
Какова должность Лухмановой Татьяны Владимировны в НГТУ им. Алексеева?,"Должность: Зам. директора по внеучебной работе (ауд.1358, ауд.6206), Образовательно-научный институт транспортных систем (ИТС), ФИО: Лухманова Татьяна Владимировна , Номер телефона: 257-86-88"
Как зовут помощника ректора?,"Должность: Помощник ректора (6 корпус),  ФИО: Осьминин Алексей Викторович , Номер телефона: 257-86-13"
Какую помощь оказывает Профсоюз своим членам?,"Мы отстаиваем стипендии обучающихся, отдых и оздоровление, оказываем бесплатную правовую, информационную и методическую помощь членам Профсоюза. Наша цель: мы стремимся к тому, чтобы каждый студент

получил качественное образование и стал успешным, счастливым человеком."
Какой телефон указан для контакта?,"Ссылка публикуется в соцсетях и администрации СОЛ «Ждановец» (ауд. 1154)

Директор СОК «Ждановец» - Олег Борисович Солдаткин

ауд. 1154, тел. 436-18-70

Наш сайт:

zhdanovec.nntu.ru"
Какова должность Дарьенкова Андрея Борисовича?,"Должность: Директор (ауд. 1256), Институт электрознергетики (ИНЭЛ), ФИО: Дарьенков Андрей Борисович , Номер телефона: 436-93-79 257-86-71"
Где находится абонемент научной литературы?,"Читательский билет это единственный документ, дающий право на получение книг в библиотеке. Читальные залы расположены во втором и шестом учебных корпусах:

- - научной литературы (ауд. 2303);
- - учебной литературы (ауд. 2202);
- - учебной литературы открытого доступа (ауд. 6162);

Абонементы также расположены во втором и шестом корпусах:

- - научной литературы (ауд. 2303);
- - учебной литературы для младших курсов (ауд. 6116);
- - учебной литературы для старших курсов (ауд. 6270);
- - для студентов заочной формы обучения (ауд. 6270);
- - художественной литературы (ауд. 6122)."
Как студенты НГТУ им. Алексеева применяют свои идеи на практике?,"Наши партнеры Госкорпорации «Росатом», «Объединенная Авиастроительная корпорация», «Объединенная Судостроительная корпорация», «Ростех», Концерн ВКО «Алмаз-Антей». В политехе работают студенческие конструкторские бюро, проектные команды и школы, где студенты воплощают свои идеи."
Кто является администратором Клуба Веселых и Находчивых?,"Мы поможем тебе реализоваться в Клубе Веселых и Находчивых. Администратор - Лидия Маклакова, тел: 8 (999) 140-16-87"
Какие качества важны для участия в СтудСовете СтудГородка?,"И в целом, СтудСовет СтудГородка -это отличная площадка для реализации твоих творческих способностей. От вас лишь требуется большая инициатива, ответственность и активность."
Как правильно поставленная цель влияет на достижение успеха?,"Выполняй их требования, будь вежлив и тактичен. - • Правильно поставленная цель - половина успеха."
Как называется антинаркотический студенческий клуб?,"Студенческий антинаркотический клуб «Пилигрим»

Мы - антинаркотический студенческий клуб «Пилигрим». Мы занимаемся общественно полезным и важным делом призываем студентов к ведению здорового образа жизни (ЗОЖ), агитируем отказаться от вредных привычек, и проводим работу по профилактике употребления и распространения наркотических и психотропных веществ."
Где находится Центр?,Центр находится в 6 корпусе НГТУ (ауд. 6115) тел: 257-86-54. Руководитель Центра -Любовь Николаевна Обидина
Какие мероприятия проводятся в институтах НГТУ им. Алексеева?,"Наши мероприятия в институтах:

Верёвочные курсы; Дни институтов; «Мистер и Мисс ИТС», «Мисс ИРИТ», Конкурс пар ИНЭЛ «23+8»; «Лучшая группа института»; Квест «История одного карнавала», интеллектуальная игра «Интеллектуальный хоккей» и другие."
В чём должны быть готовы служить Родине студенты-политехники?,"Клятва студента-политехника: Клянёмся!

Использовать полученные профессиональные знания и навыки для укрепления могущества и процветания России, быть готовым служить Родине в выбранной профессиональной сфере."
Какой номер телефона руководителя студии?,"Для участников команды танцы - это не просто заученные движения, это жизнь. Каждый член коллектива вкладывает много сил и энергии в подготовку выступлений, чтобы порадовать зрителей своим творчеством. Руководитель студии - Полина Кузнецова, тел: 8-930-714-57-00"
"Какие примеры проектов, реализуемых в СКБ, упоминаются?","Студенческие конструкторские бюро ИТС

Студенческое конструкторское бюро (СКБ) - это команда студентов-инженеров, которые решают настоящие прикладные конструкторские задачи. Вместе с командой ты можешь построить спортивный автомобиль, беспилотный летательный аппарат или судно на солнечных батареях."
Какие ключевые элементы входят в обязанности обучающихся для подготовки по специальности?,"Обучающиеся в университете обязаны:

Систематически и глубоко овладевать теоретическими знаниями, практическими навыками, современными методами и компетенциями для работы по избранной специальности или направлению. - • Соблюдать учебную дисциплину:
- - посещать учебные занятия;
- - лично выполнять в установленные сроки все виды учебных заданий и контроля усвоения учебного материала, предусмотренные соответствующими учебными планами и программами обучения."
Где создан Центр культуры и чтения НГТУ?,"Центр культуры и чтения НТБ

Центр культуры и чтения создан в научно-технической библиотеке НГТУ (Центр). Его основная цель - знакомство студентов университета с шедеврами мировой культуры, приобщение к книге и чтению, организация культурномассовых мероприятий со студентами."
Что входит в сферу деятельности студенческого самоуправления?,"Органы студенческого самоуправления

Деятельность студенческого самоуправления в НГТУ регламентируется Федеральным законом «Об образовании в Российской Федерации» № 273 - ФЗ от 29.12.2012 г.» , Положением об органах студенческого самоуправления.

В сферу его деятельности входит подготовка и реализация конкретных коллективно-творческих дел, проектов и других мероприятий во взаимодействии с администрацией вуза, преподавателями и социальными партнёрами в рамках их полномочий и ответственности.

Участие в студенческом самоуправлении способствует формированию компетенций через вовлечение обучающихся в социально значимую деятельность посредством приобретения опыта демократических отношений и навыков организаторской деятельности."
Сколько минут длится перерыв между 3 и 4 парой?,"

Расписание пар:

|                  | 1-5 корпуса      | 6 корпус         |
|------------------|------------------|------------------|
| 1                | 7:30-9:05        | 8:00-9:35        |
| 2                | 9:20-10:55       | 9:45-11:20       |
| 3                | 11:10-12:45      | 11:35-13:10      |
| Перерыв 30 минут | Перерыв 30 минут | Перерыв 30 минут |
| 4                | 13:15-14:50      | 13:40-15:15      |
| 5                | 15:00-16:35      | 15:25-17:00      |
| 6                | 16:45-18:20      | 17:10-18:45      |
| 7                | 18:30-20:05      | 18:55-20:30      |

Недели в семестре делятся на «верхние» (нечетные) и «нижние» (четные) . В расписании обозначаются: НН (нечётная неделя), ЧН (чётная неделя)"
Чему можно научиться в хоре?,"Наш руководитель - педагог высшей категории, прошедшая обучение у ведущих специалистов Латвии, Эстонии, Санкт-Петербурга, Москвы и Нижнего Новгорода! Мы научим каждого пришедшего в хор красивой речи, чистой интонации и свободному движению! Руководитель студии - Юлдуз Машарипова, тел: 8 (987) 752-84-96"
За какие нарушения может быть применено отчисление как мера дисциплинарного взыскания?,"Отчисление студентов

Отчисление за неспособность освоения образовательной программы должна быть зафиксирована получением 3-х неудовлетворительных оценок:

- • обучающийся имеет неликвидированную академическую задолженность;
- · организацией были дважды установлены сроки для прохождения повторной аттестации, но задолженность в данный период не ликвидирована.

Отчисление как мера дисциплинарного взыскания может быть применена к обучающемуся за неисполнение или нарушение устава вуза, правил внутреннего распорядка, правил проживания в общежитии и иных локальных нормативных актов по вопросам организации и осуществления образовательной деятельности. Документы смотри на сайте НГТУ."
Как можно охарактеризовать современное студенческое КВН-шоу?,"Клуб Веселых и Находчивых

Уже полвека КВН объединяет миллионы людей по всему миру, превращая студенческие игры в самое массовое в России молодежное неформальное движение. Студенческий современный КВН представляет собой яркое, красочное танцевально-музыкальное шоу, привлекающее студентов не только формой, но и содержанием."
В каком кабинете находится директор Образовательно-научного института транспортных систем?,"Должность: Директор (ауд. 1357), Образовательно-научный институт транспортных систем (ИТС), ФИО: Тумасов Антон Владимирович , Номер телефона: 436-63-64"
Кто такой координатор в студенческой группе?,"Традиционно в студенческих группах НГТУ к активу относят старосту, культорга и физорга группы. Педагогическое сопровождение их деятельности осуществляет куратор студенческой группы (из числа преподавателей вуза) и координатор (студент старших курсов из числа студенческого совета вуза, лидер студенческого самоуправления института)."
В каких мероприятиях участвует студент в составе студенческой группы?,"Студенческая группа

Студенческая группа технического университета представляет собой особую форму жизнедеятельности студентов. Практически каждый день в течение нескольких часов студент находится в кругу сверстников на учебных занятиях, участвует в различных тематических, культурно-массовых и спортивных мероприятиях в составе студенческой группы."
Какие мероприятия традиционно проводятся в спортивно-оздоровительном лагере «Ждановец»?,"Спортивно-оздоровительный лагерь «Ждановец»

Наряду со всем этим у «Ждановца» есть свои традиции и мероприятия как спортивные, так и культурные: «Ждановидение», «День бегуна», «Арбат», «Ты да Я», «Мисс Побережье», дни дружбы и многие другие. Для приобретения путевок в СОЛ «Ждановец» в мае - июне каждого года студенты заполняют заявку в электронном виде!"
Какой номер телефона у заместителя директора по учебной работе ИРИТ?,"Должность: Зам. директора по учебной работе (ауд. 5403), Институт радиоэлектроники и информационных технологий (ИРИТ), ФИО: Шерстнева Людмила Владимировна , Номер телефона: 436-93-47"
Какая контактная информация у Александра Леонидовича Кулагина?,"Участников конструкторских бюро всегда ждут работодатели! СКБ «Формула Студент», участие в международных инженерных соревнованиях «Formula SAE» по проектированию и созданию спортивных автомобилей

СКБ «БПЛА» Разработка беспилотных летательных аппаратов

СКБ «Солнечная регата», участие в международных инженерных соревнованиях «Solar Regatta» по созданию судов,

СКБ «Судостроение» Проектирование и создание парусных яхт

СКБ «Mini Baja», участие «Formula SAE» по проектированию и созданию

в международных инженерных соревнованиях внедорожных спортивных автомобилей

СКБ «Эко-марафон», участие в международных инженерных соревнованиях по созданию энергоэффективных транспортных средств

ВК: ИТС НГТУ им. Алексеева ( vk.com/its\_ngtu ) , Formula Student AMIGO Team (vk.com/amigo\_team) Институт транспортных систем НГТУ им. Алексеева; Александр Леонидович Кулагин -

заместитель директора института транспортных систем по проектной деятельности, тел: 8 (908) 162-65-66."
Какие мероприятия можно посетить в Центре?,"В Центре вас ожидают выставки книг, презентации о книгах и писателях, артистах, художниках, поэтах. Центр проводит познавательные часы и викторины, организует экскурсии студентов в музеи и театры Нижнего Новгорода."
Можно ли найти мероприятия на любой вкус в НГТУ?,И это далеко не всё! В течение всего курса каждый сможет найти себе мероприятие по душе!
Когда Варшавский политехнический институт императора Николая II был переведён в Нижний Новгород?,"Начало экспозиции посвящено становлению технического образования в Нижнем Новгороде конца XIX века, образованию Варшавского политехнического института императора Николая II и его перевода в 1916 году в Нижний Новгород. Далее можно познакомиться с историей университета с 1917 по 2000-е годы.Среди экспонатов - мебель, приборы лабораторий, личные вещи сотрудников бывшего Варшавского политеха. В центре хранится знамя университета, которое выносят на все патриотические мероприятия нашего вуза."
Какие действия предпринимают воспитанные люди при входе в аудиторию?,"Воспитанные люди: - • На лекциях, концертах, спектаклях не разговаривают, а слушают
- • Входя в аудиторию или зрительный зал, отключают сотовые телефоны. - • Следят за своей речью. Говорят правильно и красиво."
